modulation,snr_db_in,trial,symbol_index,phase_mod_stride,in_mse,in_hinge,in_both,also_wrong_in_noproc,noise_mag_at_error,typical_noise_mag
BPSK,10,1,11450,58,True,True,True,True,1.0283501368035879,0.26463451915659364
QPSK,10,0,23298,2,False,True,False,False,0.6467643323262968,0.2622262482776708
QPSK,10,0,18183,7,True,True,True,True,0.8539835849653019,0.2622262482776708
QPSK,10,0,3087,15,True,False,False,False,0.7173117578022017,0.2622262482776708
QPSK,10,0,9232,16,True,True,True,False,0.6984047664483707,0.2622262482776708
QPSK,10,0,13846,22,True,False,False,True,0.7951093564128958,0.2622262482776708
QPSK,10,0,15382,22,True,False,False,False,0.6866502871435781,0.2622262482776708
QPSK,10,0,19489,33,True,True,True,True,0.7775278464561388,0.2622262482776708
QPSK,10,0,1060,36,True,True,True,True,0.888256372960861,0.2622262482776708
QPSK,10,0,21800,40,True,False,False,False,0.7331030569642368,0.2622262482776708
QPSK,10,0,24106,42,False,True,False,False,0.7335127757193041,0.2622262482776708
QPSK,10,0,21293,45,True,True,True,True,0.7435576168546015,0.2622262482776708
QPSK,10,0,3373,45,False,True,False,True,0.785572002662107,0.2622262482776708
QPSK,10,0,23349,53,True,False,False,False,0.6493665925106331,0.2622262482776708
QPSK,10,0,2869,53,False,True,False,False,0.6206228289691965,0.2622262482776708
QPSK,10,0,14645,53,False,True,False,True,0.7874592215510694,0.2622262482776708
QPSK,10,0,20281,57,True,False,False,True,0.8314861418467656,0.2622262482776708
QPSK,10,0,17978,58,True,True,True,True,0.8382764358161002,0.2622262482776708
QPSK,10,0,12350,62,True,True,True,True,0.8881263884361699,0.2622262482776708
QPSK,10,0,10817,1,True,True,True,True,0.8139505334851711,0.2622262482776708
QPSK,10,0,9540,4,True,True,True,True,0.7851051800725496,0.2622262482776708
QPSK,10,0,6214,6,True,False,False,False,0.6440544731350233,0.2622262482776708
QPSK,10,0,3657,9,True,True,True,True,0.9060214040016621,0.2622262482776708
QPSK,10,0,11596,12,True,True,True,True,0.9425424060715148,0.2622262482776708
QPSK,10,0,9805,13,True,False,False,False,0.6824184981677243,0.2622262482776708
QPSK,10,0,2126,14,True,False,False,False,0.7053104358861199,0.2622262482776708
QPSK,10,0,7761,17,True,False,False,False,0.6171712443580917,0.2622262482776708
QPSK,10,0,10581,21,False,True,False,False,0.6457112463582535,0.2622262482776708
QPSK,10,0,2905,25,True,False,False,False,0.6945769291867395,0.2622262482776708
QPSK,10,0,7770,26,True,True,True,True,0.784876581431496,0.2622262482776708
QPSK,10,0,8795,27,True,True,True,True,0.8614818536442159,0.2622262482776708
QPSK,10,0,21337,25,False,True,False,False,0.6953627266053143,0.2622262482776708
QPSK,10,0,9054,30,True,False,False,True,0.7717990453528429,0.2622262482776708
QPSK,10,0,20575,31,True,False,False,False,0.6239144852007729,0.2622262482776708
QPSK,10,0,8801,33,True,True,True,True,0.834397476527273,0.2622262482776708
QPSK,10,0,12899,35,True,True,True,True,0.8552597257346158,0.2622262482776708
QPSK,10,0,24163,35,True,False,False,False,0.6331165559500692,0.2622262482776708
QPSK,10,0,4197,37,True,True,True,True,0.8754215507113141,0.2622262482776708
QPSK,10,0,24679,39,True,True,True,True,0.7413243301781431,0.2622262482776708
QPSK,10,0,19054,46,False,True,False,False,0.4681550602685953,0.2622262482776708
QPSK,10,0,13423,47,True,True,True,True,0.7776353918610595,0.2622262482776708
QPSK,10,0,20081,49,True,True,True,True,0.8416803937017971,0.2622262482776708
QPSK,10,0,23413,53,True,True,True,True,0.7953280595241692,0.2622262482776708
QPSK,10,0,9334,54,False,True,False,False,0.7204288933028903,0.2622262482776708
QPSK,10,0,19833,57,True,False,False,False,0.6542671708046363,0.2622262482776708
QPSK,10,0,15487,63,True,False,False,False,0.7089042752041264,0.2622262482776708
QPSK,10,0,7040,0,True,False,False,False,0.8463982087708494,0.2622262482776708
QPSK,10,0,639,63,True,True,True,True,0.9505957339261973,0.2622262482776708
QPSK,10,0,13445,5,False,True,False,False,0.719157979622739,0.2622262482776708
QPSK,10,0,1159,7,True,True,True,True,0.9224544315394114,0.2622262482776708
QPSK,10,0,1671,7,True,False,False,True,0.7685972078242029,0.2622262482776708
QPSK,10,0,12423,7,True,False,False,False,0.7359117693295603,0.2622262482776708
QPSK,10,0,18314,10,True,False,False,False,0.7947447306171088,0.2622262482776708
QPSK,10,0,18317,13,True,False,False,True,0.9239171037549428,0.2622262482776708
QPSK,10,0,5006,14,False,True,False,True,0.7251598051797424,0.2622262482776708
QPSK,10,0,408,24,False,True,False,False,0.668409524084306,0.2622262482776708
QPSK,10,0,7583,31,True,True,True,True,0.8482979795069144,0.2622262482776708
QPSK,10,0,1965,45,False,True,False,True,0.7543973287367451,0.2622262482776708
QPSK,10,0,5295,47,True,True,True,True,0.8932666429711089,0.2622262482776708
QPSK,10,0,17328,48,True,True,True,True,0.8716665561833102,0.2622262482776708
QPSK,10,0,16310,54,True,False,False,True,0.756289297432724,0.2622262482776708
QPSK,10,0,2490,58,True,False,False,False,0.6742772841822705,0.2622262482776708
QPSK,10,0,5051,59,False,True,False,False,0.7020091487561265,0.2622262482776708
QPSK,10,0,16829,61,True,False,False,False,0.6318392605184271,0.2622262482776708
QPSK,10,0,12222,62,True,False,False,False,0.6450646547806956,0.2622262482776708
QPSK,10,0,19647,63,False,True,False,False,0.6172232200066071,0.2622262482776708
QPSK,10,0,15296,0,True,False,False,False,0.7000147376478091,0.2622262482776708
QPSK,10,0,10690,2,True,False,False,False,0.6459231797045221,0.2622262482776708
QPSK,10,0,708,4,True,True,True,True,0.9135433299624115,0.2622262482776708
QPSK,10,0,22732,12,True,True,True,False,0.6623728166634101,0.2622262482776708
QPSK,10,0,2510,14,True,False,False,False,0.6846452460331109,0.2622262482776708
QPSK,10,0,7119,15,True,True,True,True,0.7702672622434993,0.2622262482776708
QPSK,10,0,22224,16,True,False,False,False,0.6695462657714324,0.2622262482776708
QPSK,10,0,20177,17,True,False,False,False,0.6820515057456208,0.2622262482776708
QPSK,10,0,4310,22,True,True,True,True,0.7552509378492903,0.2622262482776708
QPSK,10,0,15830,22,False,True,False,False,0.6243407102553625,0.2622262482776708
QPSK,10,0,18902,22,False,True,False,True,0.7388736921879048,0.2622262482776708
QPSK,10,0,4569,25,False,True,False,False,0.6255840254969204,0.2622262482776708
QPSK,10,0,1497,25,False,True,False,False,0.6494196635298465,0.2622262482776708
QPSK,10,0,987,27,True,False,False,False,0.6459199205477256,0.2622262482776708
QPSK,10,0,5084,28,True,True,True,True,0.9654131074634794,0.2622262482776708
QPSK,10,0,9178,26,False,True,False,False,0.7044914619154955,0.2622262482776708
QPSK,10,0,3813,37,True,False,False,True,0.7997572113201498,0.2622262482776708
QPSK,10,0,8685,45,True,False,False,False,0.7443537691953566,0.2622262482776708
QPSK,10,0,20462,46,True,True,True,True,0.7378708102008691,0.2622262482776708
QPSK,10,0,21233,49,True,False,False,True,0.7583267002611955,0.2622262482776708
QPSK,10,0,8181,53,False,True,False,False,0.6681187986771083,0.2622262482776708
QPSK,10,0,17397,53,False,True,False,False,0.6540934661768096,0.2622262482776708
QPSK,10,0,23547,59,False,True,False,False,0.6615410471852973,0.2622262482776708
QPSK,10,1,259,3,False,True,False,False,0.5897112235646719,0.26463451915659364
QPSK,10,1,20233,9,False,True,False,False,0.6936647647549385,0.26463451915659364
QPSK,10,1,19722,10,True,True,True,False,0.716136335952306,0.26463451915659364
QPSK,10,1,8974,14,True,True,True,False,0.6249573180184668,0.26463451915659364
QPSK,10,1,17940,20,True,True,True,True,0.759310399727898,0.26463451915659364
QPSK,10,1,11796,20,False,True,False,False,0.6550862389757566,0.26463451915659364
QPSK,10,1,16663,23,True,True,True,False,0.7098417686453634,0.26463451915659364
QPSK,10,1,20250,26,False,True,False,False,0.6326492730374051,0.26463451915659364
QPSK,10,1,7454,30,True,True,True,True,0.809493209086375,0.26463451915659364
QPSK,10,1,8478,30,False,True,False,True,0.8299569204681627,0.26463451915659364
QPSK,10,1,23841,33,False,True,False,False,0.7458520095064005,0.26463451915659364
QPSK,10,1,17699,35,True,False,False,False,0.6828096064427018,0.26463451915659364
QPSK,10,1,23590,38,True,False,False,False,0.7001480632822678,0.26463451915659364
QPSK,10,1,3367,39,True,True,True,False,0.7429855475338756,0.26463451915659364
QPSK,10,1,15912,40,False,True,False,False,0.5929349484455223,0.26463451915659364
QPSK,10,1,14894,46,True,False,False,False,0.6998179358120048,0.26463451915659364
QPSK,10,1,12849,49,True,False,False,True,0.7311091661621519,0.26463451915659364
QPSK,10,1,9015,55,True,True,True,True,0.7744543467962813,0.26463451915659364
QPSK,10,1,14909,61,False,True,False,False,0.6870963374641488,0.26463451915659364
QPSK,10,1,20034,2,False,True,False,False,0.6587857457015324,0.26463451915659364
QPSK,10,1,12355,3,True,True,True,True,0.7454935392589868,0.26463451915659364
QPSK,10,1,11335,7,True,True,True,False,0.7356173871921103,0.26463451915659364
QPSK,10,1,15690,10,True,True,True,True,1.0924003666625886,0.26463451915659364
QPSK,10,1,20042,10,False,True,False,False,0.6400304659516272,0.26463451915659364
QPSK,10,1,11085,13,True,True,True,False,0.700665207161041,0.26463451915659364
QPSK,10,1,13901,13,True,True,True,True,0.8461043682502859,0.26463451915659364
QPSK,10,1,19534,14,False,True,False,False,0.6506056805132993,0.26463451915659364
QPSK,10,1,14672,16,True,False,False,False,0.6344134933061137,0.26463451915659364
QPSK,10,1,19026,18,False,True,False,False,0.6468796036532525,0.26463451915659364
QPSK,10,1,16213,21,False,True,False,False,0.6180163477198887,0.26463451915659364
QPSK,10,1,13405,29,True,False,False,False,0.7127728974167382,0.26463451915659364
QPSK,10,1,9823,31,True,False,False,False,0.677354533825227,0.26463451915659364
QPSK,10,1,13154,34,True,True,True,False,0.6884110936413695,0.26463451915659364
QPSK,10,1,3946,42,False,True,False,False,0.6487559728648249,0.26463451915659364
QPSK,10,1,3180,44,False,True,False,False,0.7960174159118589,0.26463451915659364
QPSK,10,1,4465,49,True,True,True,True,0.8125358743699186,0.26463451915659364
QPSK,10,1,13426,50,True,True,True,True,0.8286612556833112,0.26463451915659364
QPSK,10,1,4470,54,False,True,False,False,0.8448516625409465,0.26463451915659364
QPSK,10,1,20856,56,False,True,False,False,0.7235133944591732,0.26463451915659364
QPSK,10,1,4731,59,False,True,False,False,0.639219138847911,0.26463451915659364
QPSK,10,1,10620,60,True,True,True,True,0.8689122141965917,0.26463451915659364
QPSK,10,1,6783,63,True,True,True,True,0.7501808343113212,0.26463451915659364
QPSK,10,1,10624,0,True,True,True,True,0.8177869180410425,0.26463451915659364
QPSK,10,1,23943,7,False,True,False,True,0.7131177940516357,0.26463451915659364
QPSK,10,1,13960,8,True,False,False,False,0.7086977382609247,0.26463451915659364
QPSK,10,1,20876,12,True,False,False,False,0.6485859351920367,0.26463451915659364
QPSK,10,1,10639,15,True,True,True,True,0.8097988555022506,0.26463451915659364
QPSK,10,1,11151,15,False,True,False,False,0.7255076315707917,0.26463451915659364
QPSK,10,1,24983,23,True,True,True,True,0.7602078501697239,0.26463451915659364
QPSK,10,1,3227,27,False,True,False,False,0.7608830297514954,0.26463451915659364
QPSK,10,1,11421,29,False,True,False,False,0.920468920929788,0.26463451915659364
QPSK,10,1,17311,31,True,True,True,True,0.797793730578536,0.26463451915659364
QPSK,10,1,11169,33,True,False,False,False,0.6741313909724402,0.26463451915659364
QPSK,10,1,2726,38,False,True,False,False,0.6373519256990452,0.26463451915659364
QPSK,10,1,4520,40,True,True,True,True,0.9583120054913257,0.26463451915659364
QPSK,10,1,10409,41,False,True,False,False,0.7040974793087255,0.26463451915659364
QPSK,10,1,4781,45,True,True,True,True,0.937468107116273,0.26463451915659364
QPSK,10,1,5556,52,True,False,False,False,0.6522516271165877,0.26463451915659364
QPSK,10,1,11450,58,True,True,True,True,1.0283501368035879,0.26463451915659364
QPSK,10,1,13243,59,True,True,True,False,0.7087374397920206,0.26463451915659364
QPSK,10,1,6083,3,False,True,False,False,0.6464221075710197,0.26463451915659364
QPSK,10,1,1736,8,True,False,False,False,0.6928514677726032,0.26463451915659364
QPSK,10,1,11976,8,True,True,True,True,0.8231108467583745,0.26463451915659364
QPSK,10,1,18382,14,True,True,True,True,0.7845415703092792,0.26463451915659364
QPSK,10,1,24786,18,True,False,False,False,0.8234775514993717,0.26463451915659364
QPSK,10,1,19675,27,False,True,False,False,0.6733019917177326,0.26463451915659364
QPSK,10,1,24284,28,True,False,False,False,0.6552902158789706,0.26463451915659364
QPSK,10,1,20966,38,True,False,False,False,0.6590881929805306,0.26463451915659364
QPSK,10,1,24551,39,True,True,True,True,0.9645625334943149,0.26463451915659364
QPSK,10,1,744,40,True,False,False,True,0.9038879663749193,0.26463451915659364
QPSK,10,1,10729,41,True,False,False,False,0.6661574880890571,0.26463451915659364
QPSK,10,1,19949,45,True,True,True,True,0.8099245319444102,0.26463451915659364
QPSK,10,1,12281,57,True,True,True,True,0.8037859981863635,0.26463451915659364
QPSK,10,1,15103,63,False,True,False,False,0.6744091997158677,0.26463451915659364
QPSK,10,2,5380,4,False,True,False,False,0.6572216140252528,0.26288436689443956
QPSK,10,2,20740,4,False,True,False,False,0.6316006279891592,0.26288436689443956
QPSK,10,2,2315,11,True,True,True,True,0.7675745860848133,0.26288436689443956
QPSK,10,2,9484,12,True,True,True,False,0.6973153250575702,0.26288436689443956
QPSK,10,2,13067,11,False,True,False,False,0.6667799590077411,0.26288436689443956
QPSK,10,2,17934,14,True,True,True,True,0.8681046548462904,0.26288436689443956
QPSK,10,2,8470,22,True,False,False,False,0.6619739168547825,0.26288436689443956
QPSK,10,2,19482,26,True,False,False,True,0.8378448485024168,0.26288436689443956
QPSK,10,2,10267,27,True,True,True,True,0.8775933484367915,0.26288436689443956
QPSK,10,2,23324,28,True,True,True,True,0.7865397453732378,0.26288436689443956
QPSK,10,2,4124,28,False,True,False,False,0.7576132760512639,0.26288436689443956
QPSK,10,2,15390,30,True,True,True,True,0.8134905178910153,0.26288436689443956
QPSK,10,2,12577,33,False,True,False,False,0.6446810847782365,0.26288436689443956
QPSK,10,2,546,34,True,False,False,True,0.746926687626591,0.26288436689443956
QPSK,10,2,1317,37,True,True,True,True,0.8228976258857589,0.26288436689443956
QPSK,10,2,9727,63,False,True,False,False,0.716291831973919,0.26288436689443956
QPSK,10,2,6451,51,True,False,False,False,0.6690179497532774,0.26288436689443956
QPSK,10,2,12851,51,True,True,True,True,0.7213924904566517,0.26288436689443956
QPSK,10,2,23093,53,True,False,False,False,0.7269882744223781,0.26288436689443956
QPSK,10,2,18742,54,True,True,True,True,0.7980782050406416,0.26288436689443956
QPSK,10,2,23350,54,False,True,False,True,0.7562198875378393,0.26288436689443956
QPSK,10,2,3129,57,True,True,True,True,0.8757680787568797,0.26288436689443956
QPSK,10,2,10043,59,True,True,True,False,0.7101934129930801,0.26288436689443956
QPSK,10,2,13883,59,True,True,True,True,0.7701497693728839,0.26288436689443956
QPSK,10,2,20540,60,True,True,True,True,1.062462706663898,0.26288436689443956
QPSK,10,2,15676,60,False,True,False,True,0.9316982005066212,0.26288436689443956
QPSK,10,2,22596,4,True,True,True,True,0.8286970828928709,0.26288436689443956
QPSK,10,2,11082,10,False,True,False,False,0.6632606659872204,0.26288436689443956
QPSK,10,2,16970,10,False,True,False,False,0.705702848609817,0.26288436689443956
QPSK,10,2,23891,19,True,True,True,True,0.7815915460064383,0.26288436689443956
QPSK,10,2,7774,30,True,False,False,False,0.7327338011507173,0.26288436689443956
QPSK,10,2,24159,31,True,False,False,False,0.6873247217144741,0.26288436689443956
QPSK,10,2,1120,32,True,False,False,True,0.7367057038539979,0.26288436689443956
QPSK,10,2,22888,40,True,True,True,True,0.8022200541606742,0.26288436689443956
QPSK,10,2,9580,44,True,True,True,True,0.9226551537279649,0.26288436689443956
QPSK,10,2,20341,53,True,True,True,True,0.7572092116644666,0.26288436689443956
QPSK,10,2,18552,56,True,False,False,True,0.7328931437155334,0.26288436689443956
QPSK,10,2,2936,56,False,True,False,False,0.831714213872808,0.26288436689443956
QPSK,10,2,12410,58,False,True,False,False,0.6833184617114875,0.26288436689443956
QPSK,10,2,1915,59,False,True,False,False,0.66467381046304,0.26288436689443956
QPSK,10,2,2941,61,False,True,False,False,0.6423931900421773,0.26288436689443956
QPSK,10,2,3200,0,True,True,True,True,0.8641695637489382,0.26288436689443956
QPSK,10,2,21632,0,False,True,False,False,0.7441105116211388,0.26288436689443956
QPSK,10,2,4238,14,True,False,False,False,0.6791905268123604,0.26288436689443956
QPSK,10,2,14479,15,True,False,False,False,0.6524230399308031,0.26288436689443956
QPSK,10,2,13712,16,False,True,False,True,0.7836679963988836,0.26288436689443956
QPSK,10,2,5526,22,True,True,True,False,0.7564890975196042,0.26288436689443956
QPSK,10,2,14490,26,True,False,False,False,0.7091720738819838,0.26288436689443956
QPSK,10,2,11676,28,True,False,False,False,0.7205474273099692,0.26288436689443956
QPSK,10,2,21662,30,True,True,True,True,0.7842222272745558,0.26288436689443956
QPSK,10,2,21664,32,True,True,True,True,0.7663772031600982,0.26288436689443956
QPSK,10,2,17313,33,False,True,False,False,0.6046835239723866,0.26288436689443956
QPSK,10,2,10666,42,False,True,False,False,0.6311772626797163,0.26288436689443956
QPSK,10,2,4011,43,False,True,False,False,0.7424366202415216,0.26288436689443956
QPSK,10,2,23724,44,True,True,True,False,0.7009818249925094,0.26288436689443956
QPSK,10,2,14253,45,False,True,False,False,0.6018568642116947,0.26288436689443956
QPSK,10,2,3246,46,True,True,True,True,0.7905181606204308,0.26288436689443956
QPSK,10,2,178,50,True,False,False,True,0.8074257922264748,0.26288436689443956
QPSK,10,2,20916,52,True,False,False,True,0.7250919437758929,0.26288436689443956
