modulation,channel_mode,snr_db_in,method,snr_db_out_vs_postisi_ref_mean,snr_db_out_vs_postisi_ref_std,ber_mean,ber_total_errors,ber_total_bits,ber_95ci_upper_bound,n_trials,dd_engaged_fraction
QPSK,sinusoidal,15,LMS-Frozen,6.347,1.075,9.2e-05,23,250000,,5,
QPSK,sinusoidal,-5,LMS-DD,-0.387,0.068,0.494624,123656,250000,,5,1.0
QPSK,sinusoidal,0,LMS-DD,-0.536,0.025,0.490188,122547,250000,,5,1.0
QPSK,sinusoidal,5,LMS-DD,-0.938,0.073,0.479364,119841,250000,,5,1.0
QPSK,sinusoidal,10,LMS-DD,-1.102,0.064,0.479616,119904,250000,,5,1.0
QPSK,sinusoidal,15,LMS-DD,-1.148,0.045,0.475712,118928,250000,,5,1.0
QPSK,sinusoidal,-5,NLMS-Frozen,0.639,0.057,0.325608,81402,250000,,5,
QPSK,sinusoidal,0,NLMS-Frozen,1.558,0.096,0.204392,51098,250000,,5,
QPSK,sinusoidal,5,NLMS-Frozen,3.034,0.259,0.070656,17664,250000,,5,
QPSK,sinusoidal,10,NLMS-Frozen,4.63,0.546,0.00726,1815,250000,,5,
QPSK,sinusoidal,15,NLMS-Frozen,6.095,0.914,9.2e-05,23,250000,,5,
QPSK,sinusoidal,-5,NLMS-DD,-0.385,0.025,0.491772,122943,250000,,5,1.0
QPSK,sinusoidal,0,NLMS-DD,-0.487,0.065,0.484728,121182,250000,,5,1.0
QPSK,sinusoidal,5,NLMS-DD,-0.922,0.043,0.481004,120251,250000,,5,1.0
QPSK,sinusoidal,10,NLMS-DD,-1.123,0.053,0.47678,119195,250000,,5,1.0
QPSK,sinusoidal,15,NLMS-DD,-1.183,0.057,0.479212,119803,250000,,5,1.0
QPSK,random_walk,-5,No Processing,-4.924,0.057,0.31804,79510,250000,,5,
QPSK,random_walk,0,No Processing,0.046,0.06,0.21388,53470,250000,,5,
QPSK,random_walk,5,No Processing,5.092,0.051,0.116284,29071,250000,,5,
QPSK,random_walk,10,No Processing,10.068,0.022,0.063928,15982,250000,,5,
QPSK,random_walk,15,No Processing,15.086,0.036,0.047384,11846,250000,,5,
QPSK,random_walk,-5,LMS-Frozen,0.532,0.137,0.343504,85876,250000,,5,
QPSK,random_walk,0,LMS-Frozen,1.335,0.306,0.233688,58422,250000,,5,
QPSK,random_walk,5,LMS-Frozen,2.636,0.569,0.11898,29745,250000,,5,
QPSK,random_walk,10,LMS-Frozen,4.027,0.953,0.053664,13416,250000,,5,
QPSK,random_walk,15,LMS-Frozen,5.215,1.368,0.031952,7988,250000,,5,
QPSK,random_walk,-5,LMS-DD,-0.313,0.061,0.495296,123824,250000,,5,1.0
QPSK,random_walk,0,LMS-DD,-0.398,0.085,0.484852,121213,250000,,5,1.0
QPSK,random_walk,5,LMS-DD,-0.72,0.137,0.478632,119658,250000,,5,1.0
QPSK,random_walk,10,LMS-DD,-0.884,0.171,0.478928,119732,250000,,5,1.0
QPSK,random_walk,15,LMS-DD,-0.947,0.171,0.475872,118968,250000,,5,1.0
QPSK,random_walk,-5,NLMS-Frozen,0.532,0.136,0.343456,85864,250000,,5,
QPSK,random_walk,0,NLMS-Frozen,1.325,0.316,0.234416,58604,250000,,5,
QPSK,random_walk,5,NLMS-Frozen,2.583,0.594,0.11948,29870,250000,,5,
QPSK,random_walk,10,NLMS-Frozen,3.86,0.951,0.055908,13977,250000,,5,
QPSK,random_walk,15,NLMS-Frozen,4.954,1.323,0.033268,8317,250000,,5,
QPSK,random_walk,-5,NLMS-DD,-0.312,0.061,0.494944,123736,250000,,5,1.0
QPSK,random_walk,0,NLMS-DD,-0.456,0.133,0.491404,122851,250000,,5,1.0
QPSK,random_walk,5,NLMS-DD,-0.711,0.113,0.483896,120974,250000,,5,1.0
QPSK,random_walk,10,NLMS-DD,-0.922,0.155,0.480644,120161,250000,,5,1.0
QPSK,random_walk,15,NLMS-DD,-0.981,0.169,0.478228,119557,250000,,5,1.0
