modulation,snr_db_in,grand_mean_ber,within_draw_std,between_draw_std,ratio_between_over_within
BPSK,0,0.08262666666666667,0.0032907534167999283,0.00045086336930136523,0.13700916240020328
BPSK,15,0.0008166666666666667,6.382847385042248e-05,0.0,0.0
QPSK,0,0.16133,0.0016811942342049458,0.000539437721665402,0.32086579330942544
QPSK,15,0.0008383333333333333,9.603757863186917e-05,1.1180339887498978e-05,0.1164163033551211
