modulation,channel_mode,trial,snr_db_in,method,snr_db_out_vs_postisi_ref,ber,errors,bits
BPSK,sinusoidal,2,15,LMS-DD,-1.294811869684223,0.47904,11976,25000
BPSK,sinusoidal,2,15,NLMS-Frozen,6.861275412901358,4e-05,1,25000
BPSK,sinusoidal,2,15,NLMS-DD,-1.3579457407680642,0.4818,12045,25000
BPSK,sinusoidal,3,-5,No Processing,-4.971611907586853,0.22708,5677,25000
BPSK,sinusoidal,3,-5,LMS-Frozen,0.6804362180124862,0.25616,6404,25000
BPSK,sinusoidal,3,-5,LMS-DD,-0.5770888675262422,0.48728,12182,25000
BPSK,sinusoidal,3,-5,NLMS-Frozen,0.6764987573263676,0.25636,6409,25000
BPSK,sinusoidal,3,-5,NLMS-DD,-0.6230528255494496,0.49412,12353,25000
BPSK,sinusoidal,3,0,No Processing,-0.0470844160235353,0.09492,2373,25000
BPSK,sinusoidal,3,0,LMS-Frozen,1.4921704874209174,0.12408,3102,25000
BPSK,sinusoidal,3,0,LMS-DD,-0.9397411950889911,0.48916,12229,25000
BPSK,sinusoidal,3,0,NLMS-Frozen,1.496220224199076,0.1254,3135,25000
BPSK,sinusoidal,3,0,NLMS-DD,-0.9307415726082013,0.4858,12145,25000
BPSK,sinusoidal,3,5,No Processing,5.043435121589673,0.01008,252,25000
BPSK,sinusoidal,3,5,LMS-Frozen,3.1340285091298425,0.02276,569,25000
BPSK,sinusoidal,3,5,LMS-DD,-1.0342745597181116,0.48056,12014,25000
BPSK,sinusoidal,3,5,NLMS-Frozen,3.1014862026428935,0.0244,610,25000
BPSK,sinusoidal,3,5,NLMS-DD,-1.1404585847258173,0.48724,12181,25000
BPSK,sinusoidal,3,10,No Processing,10.03842965020415,4e-05,1,25000
BPSK,sinusoidal,3,10,LMS-Frozen,4.814725788347624,0.00024,6,25000
BPSK,sinusoidal,3,10,LMS-DD,-1.0948764930258517,0.47936,11984,25000
BPSK,sinusoidal,3,10,NLMS-Frozen,4.668625643375281,0.00032,8,25000
BPSK,sinusoidal,3,10,NLMS-DD,-1.145465920705419,0.47924,11981,25000
BPSK,sinusoidal,3,15,No Processing,15.029542409197024,0.0,0,25000
BPSK,sinusoidal,3,15,LMS-Frozen,6.193581099499225,4e-05,1,25000
BPSK,sinusoidal,3,15,LMS-DD,-1.1588155999247665,0.47956,11989,25000
BPSK,sinusoidal,3,15,NLMS-Frozen,5.893728581197434,4e-05,1,25000
BPSK,sinusoidal,3,15,NLMS-DD,-1.1826348321460096,0.4798,11995,25000
BPSK,sinusoidal,4,-5,No Processing,-4.938874407931044,0.22212,5553,25000
BPSK,sinusoidal,4,-5,LMS-Frozen,0.721133447383913,0.25348,6337,25000
BPSK,sinusoidal,4,-5,LMS-DD,-0.5626830766761974,0.47952,11988,25000
BPSK,sinusoidal,4,-5,NLMS-Frozen,0.7300446530123196,0.25268,6317,25000
BPSK,sinusoidal,4,-5,NLMS-DD,-0.5684620416999238,0.48672,12168,25000
BPSK,sinusoidal,4,0,No Processing,0.051055180690046074,0.09172,2293,25000
