modulation,severity,snr_db_in,method,ber,errors,bits
BPSK,1.0,20,CNN,0.0,0,150000
BPSK,1.0,-10,MMSE (Genie),0.32828,49242,150000
BPSK,1.0,0,MMSE (Genie),0.07968666666666667,11953,150000
BPSK,1.0,10,MMSE (Genie),0.0,0,150000
BPSK,1.0,20,MMSE (Genie),0.0,0,150000
QPSK,0.0,-10,No Processing,0.37321666666666664,111965,300000
QPSK,0.0,0,No Processing,0.15909666666666666,47729,300000
QPSK,0.0,10,No Processing,0.0008433333333333333,253,300000
QPSK,0.0,20,No Processing,0.0,0,300000
QPSK,0.0,-10,LMS,0.39299666666666666,117899,300000
QPSK,0.0,0,LMS,0.18633333333333332,55900,300000
QPSK,0.0,10,LMS,0.0016233333333333334,487,300000
QPSK,0.0,20,LMS,1.6666666666666667e-05,5,300000
QPSK,0.0,-10,NLMS,0.39408,118224,300000
QPSK,0.0,0,NLMS,0.18744,56232,300000
QPSK,0.0,10,NLMS,0.00211,633,300000
QPSK,0.0,20,NLMS,6.666666666666667e-06,2,300000
QPSK,0.0,-10,CNN,0.3828666666666667,114860,300000
QPSK,0.0,0,CNN,0.16536666666666666,49610,300000
QPSK,0.0,10,CNN,0.0013233333333333333,397,300000
QPSK,0.0,20,CNN,0.0,0,300000
QPSK,0.0,-10,MMSE (Genie),0.37321,111963,300000
QPSK,0.0,0,MMSE (Genie),0.15909333333333334,47728,300000
QPSK,0.0,10,MMSE (Genie),0.0008333333333333334,250,300000
QPSK,0.0,20,MMSE (Genie),0.0,0,300000
QPSK,0.25,-10,No Processing,0.37369,112107,300000
QPSK,0.25,0,No Processing,0.16107,48321,300000
QPSK,0.25,10,No Processing,0.00122,366,300000
QPSK,0.25,20,No Processing,0.0,0,300000
QPSK,0.25,-10,LMS,0.39411,118233,300000
QPSK,0.25,0,LMS,0.18828333333333333,56485,300000
QPSK,0.25,10,LMS,0.00184,552,300000
QPSK,0.25,20,LMS,1.6666666666666667e-05,5,300000
QPSK,0.25,-10,NLMS,0.39465333333333336,118396,300000
QPSK,0.25,0,NLMS,0.18954,56862,300000
QPSK,0.25,10,NLMS,0.0023666666666666667,710,300000
QPSK,0.25,20,NLMS,6.666666666666667e-06,2,300000
QPSK,0.25,-10,CNN,0.38211,114633,300000
QPSK,0.25,0,CNN,0.16596,49788,300000
