modulation,snr_db_in,method,snr_db_out_vs_postisi_ref_mean,snr_db_out_vs_postisi_ref_std,ber_mean,ber_std,ber_total_errors,ber_total_bits,ber_95ci_upper_bound,runtime_sec_mean,n_trials
QPSK,5,RLS,3.663,0.038,0.056910499999999996,0.0010574602829421058,113821,2000000,,2.4217,10
QPSK,10,RLS,5.823,0.08,0.0021854999999999995,0.00012071557480292265,4371,2000000,,2.4374,10
QPSK,15,RLS,7.522,0.061,0.0,0.0,0,2000000,1.5e-06,2.6356,10
QPSK,20,RLS,8.422,0.043,0.0,0.0,0,2000000,1.5e-06,2.4542,10
QPSK,-10,MMSE (Genie),0.367,0.003,0.3759285,0.0013374603732447614,751857,2000000,,0.1417,10
QPSK,-5,MMSE (Genie),1.069,0.005,0.28869,0.0008599098789989501,577380,2000000,,0.1367,10
QPSK,0,MMSE (Genie),2.628,0.007,0.169213,0.0007534792631519458,338426,2000000,,0.1509,10
QPSK,5,MMSE (Genie),4.937,0.009,0.066162,0.00041736195322525745,132324,2000000,,0.1444,10
QPSK,10,MMSE (Genie),6.985,0.007,0.019291,0.00026465827022785417,38582,2000000,,0.1364,10
QPSK,15,MMSE (Genie),8.134,0.011,0.0041115,0.0001403397662816922,8223,2000000,,0.1507,10
QPSK,20,MMSE (Genie),8.594,0.01,0.0004615,4.909429702114086e-05,923,2000000,,0.1496,10
