modulation,channel,isi_energy,snr_db_in,method,ber,errors,bits
BPSK,"different phase, same taps count",0.2698,20,NLMS,2e-05,3,150000
BPSK,"different phase, same taps count",0.2698,0,CNN,0.08412666666666667,12619,150000
BPSK,"different phase, same taps count",0.2698,10,CNN,0.0,0,150000
BPSK,"different phase, same taps count",0.2698,20,CNN,0.0,0,150000
BPSK,"different phase, same taps count",0.2698,0,MMSE (Genie),0.07782,11673,150000
BPSK,"different phase, same taps count",0.2698,10,MMSE (Genie),0.0,0,150000
BPSK,"different phase, same taps count",0.2698,20,MMSE (Genie),0.0,0,150000
BPSK,single dominant reflection (2-tap),0.2725,0,No Processing,0.08232,12348,150000
BPSK,single dominant reflection (2-tap),0.2725,10,No Processing,3.3333333333333335e-05,5,150000
BPSK,single dominant reflection (2-tap),0.2725,20,No Processing,0.0,0,150000
BPSK,single dominant reflection (2-tap),0.2725,0,LMS,0.12516666666666668,18775,150000
BPSK,single dominant reflection (2-tap),0.2725,10,LMS,0.0003,45,150000
BPSK,single dominant reflection (2-tap),0.2725,20,LMS,2.6666666666666667e-05,4,150000
BPSK,single dominant reflection (2-tap),0.2725,0,NLMS,0.12581333333333333,18872,150000
BPSK,single dominant reflection (2-tap),0.2725,10,NLMS,0.0004,60,150000
BPSK,single dominant reflection (2-tap),0.2725,20,NLMS,2e-05,3,150000
BPSK,single dominant reflection (2-tap),0.2725,0,CNN,0.10221333333333334,15332,150000
BPSK,single dominant reflection (2-tap),0.2725,10,CNN,4e-05,6,150000
BPSK,single dominant reflection (2-tap),0.2725,20,CNN,0.0,0,150000
BPSK,single dominant reflection (2-tap),0.2725,0,MMSE (Genie),0.07785333333333333,11678,150000
BPSK,single dominant reflection (2-tap),0.2725,10,MMSE (Genie),0.0,0,150000
BPSK,single dominant reflection (2-tap),0.2725,20,MMSE (Genie),0.0,0,150000
QPSK,matched (train==test),0.27,0,No Processing,0.17854333333333333,53563,300000
QPSK,matched (train==test),0.27,10,No Processing,0.009256666666666667,2777,300000
QPSK,matched (train==test),0.27,20,No Processing,0.0,0,300000
QPSK,matched (train==test),0.27,0,LMS,0.19658666666666666,58976,300000
QPSK,matched (train==test),0.27,10,LMS,0.00344,1032,300000
QPSK,matched (train==test),0.27,20,LMS,6.666666666666667e-06,2,300000
QPSK,matched (train==test),0.27,0,NLMS,0.19788666666666666,59366,300000
QPSK,matched (train==test),0.27,10,NLMS,0.0038233333333333335,1147,300000
